TEAM,TEAM_ID,RIVALS,LEADERS,W_PCT,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
ATL,1610612737,"['BOS', 'MIA', 'NYK']",6,0.46,42.5,90.6,0.469,13.5,37.8,0.357,17.9,23.3,0.769,11.8,32.4,44.2,29.0,15.7,9.6,5.1,4.9,19.3,19.2,116.3,-1.3
BKN,1610612751,['NYK'],2,0.333,37.3,85.4,0.436,13.6,39.4,0.344,16.3,20.8,0.783,10.8,30.0,40.8,24.8,15.2,8.0,4.3,5.4,20.8,19.1,104.3,-6.8
UTA,1610612762,"['HOU', 'DEN']",5,0.244,39.4,87.2,0.452,13.5,38.8,0.348,17.3,22.4,0.771,11.8,33.1,44.9,24.9,17.4,6.9,4.6,6.3,19.1,19.6,109.7,-8.7
MEM,1610612763,"['GSW', 'OKC']",5,0.593,43.8,92.0,0.477,13.4,36.9,0.364,18.2,23.3,0.783,12.9,33.4,46.3,27.6,15.4,9.1,5.5,5.6,21.2,20.5,119.3,5.0
OKC,1610612760,"['DAL', 'SAS']",8,0.789,43.3,91.1,0.476,14.3,38.5,0.372,16.4,20.2,0.812,10.5,33.7,44.2,26.2,12.1,10.1,5.5,4.8,19.6,18.2,117.4,11.3
SAC,1610612758,"['LAL', 'GSW']",5,0.483,42.4,88.8,0.477,12.4,34.7,0.357,16.8,21.0,0.803,10.8,32.8,43.6,26.1,13.7,7.6,4.4,4.2,19.1,18.6,114.0,0.4
MIL,1610612749,"['BOS', 'CHI']",8,0.552,41.4,85.8,0.483,13.9,36.4,0.382,17.1,22.9,0.746,8.3,34.9,43.1,25.1,13.6,7.3,4.7,3.9,18.0,18.7,113.9,1.3
BOS,1610612738,"['LAL', 'PHI', 'NYK', 'MIA']",9,0.724,41.2,89.2,0.462,17.4,47.5,0.366,15.3,19.2,0.795,11.5,33.3,44.8,25.9,12.0,7.1,5.5,3.7,16.2,17.6,115.1,8.6
POR,1610612757,"['OKC', 'LAL']",5,0.448,40.0,89.6,0.446,12.7,37.8,0.337,16.7,22.0,0.759,13.3,31.4,44.7,23.5,16.0,8.3,5.4,5.6,19.0,19.4,109.4,-2.9
DEN,1610612743,"['UTA', 'LAL']",11,0.598,44.3,88.6,0.5,11.8,31.8,0.373,18.0,23.2,0.774,11.0,34.2,45.3,30.1,14.2,7.9,4.8,5.3,17.7,19.1,118.4,3.6
