Rk,Player,Age,Team,Pos,G,FG%,3P,ORB,DRB,TRB,AST,STL,BLK,PTS,Awards,Player-additional
1,Shai Gilgeous-Alexander,26,OKC,PG,76,.519,2.1,0.9,4.1,5.0,6.4,1.7,1.0,32.7,MVP-1DPOY-10CPOY-8ASNBA1,gilgesh01
2,Giannis Antetokounmpo,30,MIL,PF,67,.601,0.2,2.2,9.7,11.9,6.5,0.9,1.2,30.4,MVP-3DPOY-8ASNBA1,antetgi01
3,Nikola Jokić,29,DEN,C,70,.576,2.0,2.9,9.9,12.7,10.2,1.8,0.6,29.6,MVP-2CPOY-2ASNBA1,jokicni01
4,Anthony Edwards,23,MIN,SG,79,.447,4.1,0.8,4.9,5.7,4.5,1.2,0.6,27.6,MVP-7CPOY-3ASNBA2,edwaran01
5,Jayson Tatum,26,BOS,PF,72,.452,3.5,0.7,8.0,8.7,6.0,1.1,0.5,26.8,MVP-4CPOY-10ASNBA1,tatumja01
6,Kevin Durant,36,PHO,PF,62,.527,2.6,0.4,5.7,6.0,4.2,0.8,1.2,26.6,AS,duranke01
7,Cade Cunningham,23,DET,PG,70,.469,2.1,0.8,5.3,6.1,9.1,1.0,0.8,26.1,MVP-7ASNBA3,cunnica01
8,Jalen Brunson,28,NYK,PG,65,.488,2.3,0.4,2.5,2.9,7.3,0.9,0.1,26.0,MVP-10CPOY-1ASNBA2,brunsja01
9,Devin Booker,28,PHO,SG,75,.461,2.4,1.0,3.1,4.1,7.1,0.9,0.2,25.6,,bookede01
10,Damian Lillard,34,MIL,PG,58,.448,3.4,0.5,4.2,4.7,7.1,1.2,0.2,24.9,AS,lillada01
11,Stephen Curry,36,GSW,PG,70,.448,4.4,0.6,3.9,4.4,6.0,1.1,0.4,24.5,MVP-9CPOY-5ASNBA2,curryst01
12,Karl-Anthony Towns,29,NYK,C,72,.526,2.0,2.9,9.8,12.8,3.1,1.0,0.7,24.4,ASNBA3,townska01
13,LeBron James,40,LAL,SF,70,.513,2.1,1.0,6.8,7.8,8.2,1.0,0.6,24.4,MVP-6CPOY-7ASNBA2,jamesle01
14,Trae Young,26,ATL,PG,76,.411,2.9,0.5,2.6,3.1,11.6,1.2,0.2,24.2,CPOY-4AS,youngtr01
15,Franz Wagner,23,ORL,SF,60,.463,1.7,0.9,4.8,5.7,4.7,1.3,0.4,24.2,,wagnefr01
16,Donovan Mitchell,28,CLE,SG,71,.443,3.3,0.8,3.7,4.5,5.0,1.3,0.2,24.0,MVP-5CPOY-9ASNBA1,mitchdo01
17,Tyler Herro,25,MIA,SG,77,.472,3.3,0.5,4.7,5.2,5.5,0.9,0.2,23.9,AS,herroty01
18,De'Aaron Fox,27,2TM,PG,62,.463,1.9,0.9,3.9,4.8,6.3,1.5,0.4,23.5,,foxde01
19,Zach LaVine,29,2TM,SG,74,.511,3.2,0.3,4.0,4.3,4.2,0.8,0.2,23.3,,lavinza01
20,James Harden,35,LAC,PG,79,.410,3.0,0.7,5.1,5.8,8.7,1.5,0.7,22.8,MVP-10ASNBA3,hardeja01
