Season,Date,Score,Excitment,Tension,Comeback,MVP,LVP
2023,2023-10-24,"PHX 108, GSW 104",9.9,89.5,4.4,J. Okogie: +22.9%,G. Allen: -15.0%
2023,2023-10-24,"LAL 107, DEN 119",5.6,69.8,1.2,J. Murray: +20.6%,G. Vincent: -13.2%
2023,2023-10-25,"DAL 126, SAS 119",10.0,93.8,4.0,G. Williams: +26.8%,J. Sochan: -19.6%
2023,2023-10-25,"CLE 114, BKN 113",9.4,90.1,31.3,D. Mitchell: +65.7%,D. Garland: -21.0%
2023,2023-10-25,"BOS 108, NYK 104",9.1,85.5,7.7,K. Porzi??is: +64.1%,J. Brunson: -25.4%
2023,2023-10-25,"ATL 110, CHA 116",8.8,89.4,3.0,P. Washington: +27.7%,T. Young: -22.2%
2023,2023-10-25,"MIN 94, TOR 97",8.1,89.8,1.6,D. Schröder: +21.1%,K. Towns: -21.5%
2023,2023-10-25,"DET 102, MIA 103",7.3,73.9,1.5,D. Robinson: +14.5%,C. Cunningham: -22.4%
2023,2023-10-25,"OKC 124, CHI 104",5.4,76.7,1.5,S. Gilgeous-Alexander: +18.9%,L. Dort: -9.8%
2023,2023-10-25,"NOP 111, MEM 104",5.0,66.8,2.1,C. McCollum: +16.4%,J. Jackson Jr.: -8.2%
2023,2023-10-25,"WAS 120, IND 143",4.6,58.5,2.0,B. Brown: +19.7%,J. Poole: -5.9%
2023,2023-10-25,"HOU 86, ORL 116",4.2,61.1,1.2,C. Anthony: +18.9%,A. Thompson: -13.8%
2023,2023-10-25,"SAC 130, UTA 114",4.1,53.1,1.0,H. Barnes: +25.4%,C. Sexton: -9.0%
2023,2023-10-25,"POR 111, LAC 123",2.8,45.1,1.0,P. George: +12.5%,S. Henderson: -11.8%
2023,2023-10-26,"PHX 95, LAL 100",8.3,86.7,13.2,A. Davis: +24.8%,J. Nurki?: -20.0%
2023,2023-10-26,"PHI 117, MIL 118",7.7,83.5,9.6,D. Lillard: +58.5%,J. Embiid: -24.9%
2023,2023-10-27,"TOR 103, CHI 104",11.5,74.8,1249.0,A. Caruso: +74.0%,P. Siakam: -20.7%
2023,2023-10-27,"HOU 122, SAS 126",11.3,87.7,11.7,D. Vassell: +25.9%,J. Smith Jr.: -33.5%
2023,2023-10-27,"LAC 118, UTA 120",10.8,86.7,2.8,P. George: +68.8%,K. Leonard: -15.1%
2023,2023-10-27,"BKN 120, DAL 125",9.8,92.4,11.3,L. Don?i?: +127.5%,J. Green: -19.8%
